公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：1分钟,发车时间：18:02,到达时间：18.43,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
13,理科楼,1,4,,13,第三食堂,6,6,,,,,
14,东操场,5,1,,14,融园东,4,4,,,,,
15,东体育馆,0,9,,15,东体育馆,0,4,,,,,
合计,,56,56,,,,54,54,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
断面（下行）,客流量,,,断面（上行）,客流量,,,,,,,,
东体育馆,7,,,东体育馆,7,,,,,,,,
融园东,19,,,东操场,4,,,,,,,,
第三食堂,11,,,理科楼,9,,,,,,,,
秀园,9,,,逸夫楼,9,,,,,,,,
第二食堂,13,,,1号教学楼,14,,,,,,,,
综合楼,12,,,11号教学楼,19,,,,,,,,
一食堂,11,,,纺化楼,19,,,,,,,,
西门,7,,,西门,18,,,,,,,,
纺化楼,9,,,一食堂,15,,,,,,,,
11号教学楼,10,,,综合楼,14,,,,,,,,
1号教学楼,12,,,第二食堂,10,,,,,,,,
逸夫楼,8,,,秀园,4,,,,,,,,
理科楼,5,,,第三食堂,4,,,,,,,,
东操场,9,,,融园东,4,,,,,,,,
东体育馆,0,,,东体育馆,0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
（下行）,上车人数,下车人数,上车人数,下车人数,上车人数,下车人数,平均上车人数,平均下车人数,车上人数,断面客流,,,
东体育馆,3,0,2,0,2,0,2 ,0 ,2 ,7,,,
