公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：3分钟,发车时间：7.22,到达时间：8.03,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
14,东操场,0,3,,14,融园东,0,3,,,,,
15,东体育馆,0,3,,15,东体育馆,0,0,,,,,
合计,,43,43,,,,33,33,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
断面（下行）,客流量,,,断面（上行）,客流量,,,,,,,,
东体育馆,4,,,东体育馆,2,,,,,,,,
融园东,21,,,东操场,2,,,,,,,,
第三食堂,20,,,理科楼,2,,,,,,,,
秀园,18,,,逸夫楼,3,,,,,,,,
第二食堂,17,,,1号教学楼,8,,,,,,,,
综合楼,13,,,11号教学楼,10,,,,,,,,
一食堂,13,,,纺化楼,12,,,,,,,,
西门,10,,,西门,12,,,,,,,,
纺化楼,4,,,一食堂,13,,,,,,,,
11号教学楼,7,,,综合楼,13,,,,,,,,
1号教学楼,11,,,第二食堂,16,,,,,,,,
逸夫楼,10,,,秀园,5,,,,,,,,
理科楼,6,,,第三食堂,3,,,,,,,,
东操场,3,,,融园东,0,,,,,,,,
东体育馆,0,,,东体育馆,0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
（下行）,上车人数,下车人数,上车人数,下车人数,上车人数,下车人数,平均上车人数,平均下车人数,车上人数,断面客流,,,
东体育馆,2,0,1,0,1,0,1 ,0 ,1 ,4,,,
融园东,6,0,7,0,4,0,6 ,0 ,7 ,21,,,
第三食堂,0,0,3,4,2,2,2 ,2 ,7 ,20,,,
秀园,0,3,1,0,0,0,0 ,1 ,6 ,18,,,
